"Period","Direction","Passenger_type","Count"
201611,"Net migration","PLT",7091
201612,"Arrival","NZ Resident",156094
201612,"Arrival","Overseas visitor",494193
201612,"Arrival","PLT",10687
201612,"Departure","NZ Resident",281115
201612,"Departure","Overseas visitor",341731
201612,"Departure","PLT",5688
201612,"Net migration","PLT",4999
201701,"Arrival","NZ Resident",288306
201701,"Arrival","Overseas visitor",381068
201701,"Arrival","PLT",14457
201701,"Departure","NZ Resident",165673
201701,"Departure","Overseas visitor",478032
201701,"Departure","PLT",6011
201701,"Net migration","PLT",8446
201702,"Arrival","NZ Resident",184547
201702,"Arrival","Overseas visitor",380034
201702,"Arrival","PLT",13793
201702,"Departure","NZ Resident",147377
201702,"Departure","Overseas visitor",386317
201702,"Departure","PLT",5184
201702,"Net migration","PLT",8609
201703,"Arrival","NZ Resident",179276
201703,"Arrival","Overseas visitor",343799
201703,"Arrival","PLT",10087
201703,"Departure","NZ Resident",192234
201703,"Departure","Overseas visitor",395581
201703,"Departure","PLT",5209
201703,"Net migration","PLT",4878
201704,"Arrival","NZ Resident",221345
201704,"Arrival","Overseas visitor",311866
201704,"Arrival","PLT",8637
201704,"Departure","NZ Resident",244233
201704,"Departure","Overseas visitor",347567
201704,"Departure","PLT",5231
201704,"Net migration","PLT",3406
201705,"Arrival","NZ Resident",220392
201705,"Arrival","Overseas visitor",209170
201705,"Arrival","PLT",8386
201705,"Departure","NZ Resident",233063
201705,"Departure","Overseas visitor",256096
201705,"Departure","PLT",5269
201705,"Net migration","PLT",3117
201706,"Arrival","NZ Resident",224810
201706,"Arrival","Overseas visitor",230088
201706,"Arrival","PLT",9158
201706,"Departure","NZ Resident",261813
201706,"Departure","Overseas visitor",199756
201706,"Departure","PLT",5145
201706,"Net migration","PLT",4013
201707,"Arrival","NZ Resident",311944
201707,"Arrival","Overseas visitor",246945
201707,"Arrival","PLT",12390
201707,"Departure","NZ Resident",302412
201707,"Departure","Overseas visitor",266231
201707,"Departure","PLT",5843
201707,"Net migration","PLT",6547
201708,"Arrival","NZ Resident",258628
201708,"Arrival","Overseas visitor",233991
